症状,草药
341,419 717 914 1026 1159
211,393 422 637 764 914
23,914 941 947 1148 1178
308,408 528 833 914 1107 1143 1148 1194
23 99 341,419 914 947 979 1056 1079 1153
184,408 528 537 786 914 1124 1148
341,528 537 786 833 914 982 1124 1143 1148
341,419 528 537 914 947 1124 1136 1143
223,914
341,419 513 528 537 672 776 786 813 914 947 979 1124 1143
341,408 419 528 582 650 672 786 914 947
341,419 528 914
185 341,419 528 672 786 914 1148
341,408 528 650 672 764 786 914 947
341,468 528 532 672 692 720 816 855 885 947 985 1007 1019 1084 1088 1144 1175
124 308 341,776 914
341,408 411 461 537 632 672 786 914 1019 1083 1124 1182 1188
341,449 537 1124
12 133,789
341,419 564 1026
200 341,449 537 924 947 1109 1124 1136
12 133,789
200 341,449 537 924 947 1109 1124 1136
264,519 559 637 642 685 813 1113
341 357,758 946 1099
155,537 1124
264,519 559 637 642 685 813 1113
347,405 445 532 560 574 612 735 748 787 1050 1084 1144 1159
114,497 591 662 951 1039 1175
178,477 494 532 537 549 558 560 617 633 673 748 787 995 1036 1124 1144
264,642
227,456 522 534 780
223,425 473 528 565 572 825 951 1170
344,442 461 478 574 612 665 869 1039 1047 1067 1136
371,473 528 565 672 765 771 823 1019 1107 1194
211,532 637 642 662 689 816 1088
341,528 572 620 786 833 1188
99 341,478 537 620 671 717 786 801 1124
341,620 671 672 776 786
341,419 528 620 786 823 1188
341,425 528 537 565 620 786 1124 1143 1188
341,620 1109
341,408 537 620 776 786 813 1093 1124 1143 1188
341,425 528 537 565 620 786 1124 1143 1188
341,620 1109
341,442 537 620 776 786 1052 1124
50 171,419 620 632 914 935 947 1026 1148 1178
341,419 528 620 672 914 947 1026
341,582 620 650 914 947 982 1136 1159
341,442 537 620 776 786 1052 1124
341,419 528 620 672 914 947 1026
210,620
341,528 620 632 642 671 672 686 823 982
93 229 359,559 597 665 685 759 789 808 884 951 1039 1094
124 327 341,528 537 620 646 671 776 786 813 897 1124 1148
335,537 629 869 1124
335,537 629 869 1124
210 284,445 620 888 944
341,425 449 528 565 620 1143 1188
341,620
155,528 642 650
308,816 1102
279,422 510 637 646 650 668 764 1184
155,528 642 650
139 314,425 510 646 650 705 764 1084 1184 1188
126 341 351,435 558 585 813 1029 1039 1088 1175
99 165,419 528 537 565 644 786 833 1124 1143 1194
100,528 549 637 650 764 788 1002 1184 1199
293,422 425 478 528 637 764 947
34 141 347 357,558 564 637 668 833 1109
34,442 558 564 637 668 833 1109
34,473 558 564 637 833 1109 1143 1152
133,558 560 598 637 642 725 824 833 934 1039 1136 1144
99,394 419 477 549 560 592 673 752 787 812 869 947 982 990 1026 1036 1076 1144 1150
344,445 473 497 574 612 662 813 816 947 951 1039 1047 1093 1144
40 97,642 748 970 990 1036 1056 1153
144,559 574 612
172 325,478 528 549 572 574 612 789 882 985 1067 1200
144,574 612 1144
223,473 498 528 565 572 626 637 650 659 732 790 813 888 947 951 1150 1199
83,473 490 498 626 656 657 705 706 732 790 813 941 947 951 998 1163 1188
9,490 498 626 656 705 732 794 831 888 941 947 1188
135,406 498 626 656 657 813 831 941 1115 1132 1163
135,498 532 941 1134
114 167,443 497 528 558 816 934 951 1039 1088 1179
9 114 122 268,528 558 732 809 885 1088
114 308 341,408 492 582 633 642 662 689 748 809 816 855 982 1007 1019 1039 1102 1119 1132 1136 1175
339,457 478 528 637 759 789 825 882 979 1102 1143 1144 1152
335,457 812
193,419 438 440 510 607 637 646 668 705 732 771 790 813 831 947 994 998 1001 1188
311,409 422 473 492 528 637 668 748 794 802 804 805 813 951 1011 1067 1096 1144 1184 1194
195,528 549 715 985 1093 1184
167 385,422 425 549 637 705 831 952 1184
92 178 211,422 433 478 494 559 572 574 612 637 759 812 873 882 911 947 1000 1084 1144 1184 1188 1200
317,413 497 637 662 748 760 873 882 905 941 951 1000 1069 1102 1144
167,611 905
161,413 434 659 662 829 841 868 905 941 951 973 1000 1069 1134
335,829 873 905
67 264,468 532 633 637 689 692
341,408 425 442 528 549 672 765 833 914 947 1182 1188
139 314,425 510 646 650 705 764 1084 1184 1188
126 341 351,435 558 585 813 1029 1039 1088 1175
34 341,461 528 632 637 672 764 786 914 1002
184 308 341,461 528 672 764 914 1182
308,408 914 1107 1143 1148 1194
5 23,425 478 813 894 897 914 947
124 261 341,408 537 549 632 671 672 687 786 833 914 1019 1124 1143 1182 1188 1194
229,637 705 829 831 882 897 947 1150 1184
307,402 422 425 468 478 528 532 626 637 642 664 692 707 725 763 764 813 833 897 939 947 952 985 1046 1067 1093 1125 1150 1159 1184
307,468 528 532 549 692 894 897 947 985
229,637 705 829 831 882 897 947 1150 1184
341,620 672 776 786
307,468 528 532 549 692 894 897 947 985
167,445 527 528 565 611 734 813 947 979 1088 1170 1175
341,620 672 776 786
167,445 527 528 565 611 734 813 947 979 1088 1170 1175
12,440 509 558 559 564 642 665 685 838 1039
12,531 596 858
12,445 599 665 685 838 1117
12,561 564 596 637 665 679 736 771 838 985 1109
12,559 685 838 1047
12,642 665 998 1088
289,637
12,679
133,528
184 323,393 422 473 528 672 771 952
211,559 903
184 323,425 549 637 650 668 813 947
178 211 305 341,408 422 662 672 752 810 833 1019 1054 1102 1136 1159 1170
353,637 642 760 951 1144
83 378,492 528 642 750 1143
133 339,422 528 637 650 813 1136
133 339,422 528 637 650 813 1136
34 133 142 184,422 425 449 528 637 650 668 722 813 1148 1188
144 316,494 528 549 759 882 951 1000 1002 1102 1144 1184
17,422 473 528 637 764 813 1054 1067 1144
211,425 549 759 813 947 1080 1093
211,422 425 528 549 813 985 1093 1184
211,425 549 759 813 947 1080 1093
341,425 528 549 672 813 947 1093 1148 1188
21 113,449 494 528 549 572 617 759 882 951 1000 1102 1144
113 144 335,425 449 494 528 549 572 722 759 813 947 951 1093 1102 1144
184 323,473 528 637 650 764 771 813 823 985 1107 1143
247,393 422 473 528 558 581 582 637 661 752 833 944 947 979 1102 1109 1178
335,409 736 823 903 964 1107
247,393 422 473 528 558 581 582 637 661 752 833 944 947 979 1102 1109 1178
98,393 473 549 765 833 947 1093
370,425 528 620 642 758 813 1052
142,428 445 528 560 578 748 758 882 1054 1088 1096
308 316,406 528 549 748 947 1067 1136 1168 1194
77,869
50 124 213,419 425 573 672 765 833 876 947 1026
279,422 478 510 637 764 951 1080 1184
229,1039 1144
167 344,1019
167 344,1019
114,590 591 1088
235 305,445 565
247,393 422 448 473 508 528 541 581 637 656 810 813 833 935 947 982 1019 1035
167,642 702 725 823 1088 1132 1148
247,642 834
5 83 114 167 211 214 356,445 809 905 1039 1077 1088 1175
83 114 115 214,445 591 702 809 813 905 1039 1077 1175
99 112 155,425 477 494 528 549 560 617 720 732 787 813 897 933 1039 1144
34 211 335 341,494 528 617 672 692 720 732 813 897 933 947 1084 1088 1144 1184
358,393 406 435 473 558 559 561 565 585 637 685 725 752 764 771 809 833 1019 1039 1047
114,393 422 425 473 497 528 564 565 582 637 642 662 672 689 720 725 752 816 833 951 1019 1102 1143 1170 1194
167,689 816 1039 1088 1175
84 245,445 559 571 585 590 685 809 855 1039
211 341,445 450 468 492 497 530 532 662 689 692 720 731 748 767 809 816 885 925 947 951 1007 1019 1039 1047 1088 1102 1175
167,689 816 1039 1088 1175
14,473 591
211 341,445 450 468 492 497 530 532 662 689 692 720 731 748 767 809 816 885 925 947 951 1007 1019 1039 1047 1088 1102 1175
93,559 662 685 905 951 1143
53,393 457 509 528 558 642 650 665 720 725 809 813 947 982 985 1077 1132 1175 1179
167 344,393 422 425 445 473 492 497 528 565 662 672 689 706 732 771 789 813 816 868 947 951 1039 1093 1102 1170
93,559 662 685 905 951 1143
53,393 457 509 528 558 642 650 665 720 725 809 813 947 982 985 1077 1132 1175 1179
341,473 528 662 689 809 816 855 885 947 1007 1008 1019 1039 1047 1088 1102 1143 1175
344,473 492 497 662 689 816 951 1039 1088
344,689 838 1088
344,445 473 497 528 591 689 816 951 1039 1088
14 341 344,449 473 497 509 514 528 598 662 689 816 951 1019 1039 1088 1093
344,689 838 1088
344,445 473 497 528 591 689 816 951 1039 1088
14 341 344,449 473 497 509 514 528 598 662 689 816 951 1019 1039 1088 1093
335,478 759 760 1039 1096
385,422 764 854 1136 1144
34 308,498 637 794 809 813 841 868 951 1000 1088
318,477 637 685
335,425 637 642 701 748 812 1159
335,558 637 707 813 998
318,477 637 685
318,425 572 637 951 1144
248,449 558 572 637 646 812 1067
100 284 335,608 637 685
246,413 449 519 565 572 637 642 650 788 951 1067 1069 1096 1113 1199
167,537 565 637 869 951 1124
229,413 519 637 1069
100 139 314,393 408 411 433 477 528 572 637 650 668 741 764 804 985 1144
67,528 558 637 642
264,938
144 335,425 572 637 646 650 758 951 1067
83,425 637 650 656 662 759 813 947 1144
141 308,637 656 701 713 790 794 841 994
90 335,411 582 637 650
335,558 637 707 813 998
67,528 558 637 642 736
210,393 422 454 473 528 530 637 764 767 925
335,449 528 637 650
56,637 642 650 672 1096
335,449 637 650
335,425 528 572 637 951 998
193,528 637 650 833 1141
200,572 637 646 650 833
335,413 433 462 528 572 637 638 722 786 825 841 935 941 947 1069
56,637 642 650 672 1096
161,572 637 951
335,528 572 637 650 771 813 951 1199
178 211,413 429 457 637 685 788 809 1069 1135 1166 1199
209 335,457 637 650 656 685 788 809 1199
335,637 916 1001
385,510 528 637 646 650 813
229,510 594 637 707 961 1006
335,528 572 637
297 311,637 650
229,528 637 650 732 833 947 1148 1188
335,528 549 637 650 672 764 813
193,424 637 646 664 831 1109 1141
335,478 528 549 565 637 1084
335,528 549 637 672
27 335,422 528 637 951 1144 1184
27 335,528 565 582 813 998
99,425 549 582 637 650 748 788 947 982 1144 1199
67,422 528 582 637 642
100,409 656 661 764 850 924 1170
336,422 440 473 528 549 582 637 771 823 833 888 998
32 144 308 335,528 637 642 650
335,558 637 758
155 335,558 564 637 650
344,443 808 1039 1088 1143
155,449 637 650
92 325,425 478 528 637 650 764 788 813 947 1199
335,409 425 685 854 947 1184
372,411 637 668 831 841
227,422 461 528 810 1066 1136
40,422 424 425 440 510 637 705 764 813 833 1184
359,478 528 598 1019 1039 1088 1132 1175 1185
40 158,442 492 528 558 632 637 653 696 720 725 790 816 833 947 1109 1132 1182
344,591
8 385,419 425 438 528 549 637 646 650 764 1084 1159 1170
184 214,395 528 813 1093 1148 1194
124,395 396 521 642 650 725 833 1132 1136
40,408 425 473 705 790 850 924 951 1178
351,473 671 771 813
305,449 637 813 916
155 167,637 722
34,528 558 637 764 836 1109 1148 1172
34,528 558 637 813 1151
14 283,473 565 637 951 1143 1170
335,407 637
177,413 457 510 637 650 656 788 1069 1199
165 341,582 637 642 650 992 1109
335,425 528 582 637 650 1050
27 335,422 528 637 951 1144 1184
141 148,422 528 558 637 650 725 788 833 935 1109 1136 1148 1199
137 335,528 549 637 672 764 813
335,528 637 646 813 833 998
190 335,582 637 650 672 813 1144 1159
37,637
248,558 637 998
161,528 637 656 671 700 790 941 951 1011 1115 1188
200 341,449 528 537 637 813 947 1124
97,637
200,572 582 637 646 650 833
32,528 637 650 656 771 831 833
83 224,457 477 637 650 787 825
314,425 637 707 951 998 1006
335,528 549 637 650 672 764 813
99,419 582 637 642 650 701 748 787 807 947 1026 1036 1056 1153 1159
335,449 637 771 808 825 951 1184
172 197 325 341,425 549 582 637 650 748 788 947 982 1144 1199
344,449 591 816 1093
76,440 701 947
12,475
211 305,591 771 789 1093
133,413 419 537 539 559 685 771 874 992 1011 1039 1102 1124
308 341,408 422 528 549 582 672 823 947 985 1067 1102 1136 1159
139 314,425 528 637 656 750 788 947 968 1144 1199
359,497 689 789 816 951 1039 1088 1093
214,1039
341,419 425 442 632 637 786 947 1119 1178 1182
34,425 549 632 637 764 947
31 247,445 838 1088
335,403 528 572 726 758 946 1099
141 172 178,399 473 558 559 642 752 765 810 816 1102
50,473 528 572 591 662 789 1093 1102
283,473 565 637 662 951 1101 1143 1170
284,473 497 637 656 662 816 951 1102 1143 1170
83,393 425 473 637 662 951 1143 1159 1170 1194
275,473 565 662 789 825 1102
359,406 473 497 508 528 565 566 572 637 646 662 816 947 951 1102 1143 1170
27 224,434 572 662 748 760 951 973 1102 1144
23 33 184 207 339,425 998 1151
83,425 473 626 732 813 1107 1170
53 161,425 449 478 572 637 1067 1093 1143
14 283,473 508 789 825 868 917 1143 1170 1175
298,445 789 825 1088 1144
14 275 283,473 497 591 656 662 816 917 951 1039 1102
83 178 211 344,419 591 759 1039
283,591 1017
305,497 528 590 591 951 1132 1194
305,497 591 662 720 951 1093 1194
305,591 1194
305,591 760 1194
305,497 591 951 1093 1144
211 305,591
178,449 514 591 813 947 1093
335,477 748 1102 1144
155,445 497 591 951 1175
114 308,591 838 1088
40 211 344,492 497 591 608 689 951
341,488 497 514 572 591 951 1093
341,445 514 591 1093
83 167 308,591 1093
292,449 591 789 825 1039 1093 1143
275 283,449 497 591 951
283 292,449 591 662 951 1093
305,591 825 951 1093
235 305,400 406 473 591
200,591
224,407 413 442 528 701 1069 1136 1168
344,497 591 662 951
210,408 422 528 549 582 672 731 823 947 985 1067 1093 1102 1107 1136 1159 1170
335 349,419 428 434 440 490 498 533 656 705 707 764 828 829 841 882 889 894 901 941 947 968 973 994 998 1006
178 211 305,528 662 947 1093
167 283,419 445 497 591 662 731 759 813 825 828 951 1039 1093 1132
167 283,522
13,425 473 608 662 826 951 1102
50,393 422 565 816 951 1008 1184
167,758
305,422 565 771 1019 1125
84,1000 1144
283,758 1047
84,823 985
99 305,422 771
14,541 565 1047
114 167,528 637 642 759 1000 1039 1088 1091 1119 1143 1144 1175
92,461 528 549 564 637 672 748 985 1067 1159
92,532 549 692 947 985 1084 1093 1184
133,462 672 747 752 764 771 810 1184
133,425 430 509 528 530 637 689 764 767 925 947 1002 1136 1184
167,509
335,422 528 532 549 572 720 725 771 947 985 1184
83 253 322,422 425 449 528 549 558 560 725 813 947 951 985 1136 1184
341,528 537 672 692 717 833 1124 1159 1184
177,422 509 560 1159 1184
167 305 359,419 438 656 662 705 833 840 854 1007
133,422 425 461 462 528 549 558 598 637 672 752 765 771 833 985 1093 1102 1159 1184 1194
205 246 317 322 353,440 478 509 564 656 662 809 924 979 1007 1054 1136
264,444 468 692 748 853 897 1084 1159
214,528 731 759 813 1000 1067 1093
92 178 211 213 341,449 528 549 560 637 1084
84,823 985
99 305,445 559 685 838
14,541 565 1047
142 155 308,435 445 492 558 574 612 805 843 934 1039 1137 1144 1175 1179
5 214,537 808 869 985 1102 1124
133,440
115,449 528 661 882 1096
13,478 559 656 705 789 808 951 983 984 985
32 341,605 722 983
341,497 591 951 1093
305,393 406 473 528 551 1159 1194
339,425 642 650 748 823 947 1144 1159
229,650 748 951 1056 1144 1153
335,413 449 477 748 845 882 1067 1069 1144
133 155 184,461 462 642 650 686 752 1011 1132 1140 1144
335,582 637 650 748 951 1039 1096 1136 1144
327,565 572 582 637 650 748 813 1096 1144
141,748 982 1144
317,528 551 748 947 1093 1132 1144
335,433 574 1112 1144
335,425 528 574 650 759 764 951 1112 1144
374,425 477 661 748 882 1000 1144
335,408 637 748 813 947 1144
27 211,528 572 716 951 1079 1144
335,449 558 637 951 1067 1096 1144
141,425 558 637 998 1144
335,425 528 558 572 637 833 1144
197,642 720 982
23 197,412 930 982 1016 1062
197,412 425 528 833 930 982 1016
44 264,425 532 549 558 633 692 752 845 1084 1144
50 83 100 167,642 748 970 990 1036 1093 1144
56,532 574 787 823 869 951 980 1112 1136 1144 1184
213,477 759 933 1084 1094 1144
167,748 838 847 869 995 1076 1137 1144
155 211,787 829 1036 1144
264,549 560 642 758 759 787 869 1000 1144
248,425 549 558 650 748 764 813 947 1067 1144 1150 1159
113,409 528 574 633 637 1093 1112 1136 1144
144 335,425 433 449 494 528 672 731 759 813 1067 1144
113,425 528 549 560 633 1084 1093 1144
248 335,558 951 1144 1184
248,549 558 564 602 642 982 1144 1159
34 308,425 440 478 528 650 764 813 947 1136 1144
92 211,532 549 572 574 612 701 951 1056 1067 1136 1144 1153 1182
314,478 528 549 572 672 759 882 985 1067
223,537 560 748 1056 1093 1124 1144 1153 1159
69 76 115 139 211 293 314 341 372 378,549 558 560 564 637 642 748 951 1000 1036 1144 1159 1184
248 264,477 549 558 560 564 637 642 748 787 833 1144 1159 1184
264,549 558 560 564 637 642 748 833 951 1036 1144 1159 1184
248,560 564 642 748 1144 1159 1184
155 248 335,642 748 1144
214,509 528 549 558 560 637 642 673 748 787 982 1144 1159 1184
335,477 549 558 564 573 637 642 748 1036 1144 1159 1184
100 341,419 528 672 786 826 1141 1188
200,419 566 722 776 1188
305,419 438 668 732 813 868 947 1148 1188
341,537 813 1124 1148 1188
56,1115 1188
341,419 434 537 551 914 973 1124 1136 1143 1159 1188
341,425 450 537 572 646 786 813 1124 1188
317 341,419 473 528 537 565 813 1124 1143 1148 1159 1188
335,425 528 637 650 1188
335,425 672 1093 1188
341,528 565 572 637 642 722 776 786 813 1143 1188
341,537 813 1124 1148 1188
99,626 668 705 841 951 1188
341,528 537 947 1124 1188
172,813 1148 1188
341,450 813
161 298,422 473 528 537 582 650 1124 1188
190 341 357,528 549
139 314,608
188,413 419 539
188,413 419 539
111 167,413 419 539 1195
100,403 537 608 758 787 869 938 970 990 1124
372,422 425 528 558 564 637 646 764 876 947 1150
318,473 528 565 572 637 650 722 725 758 944 1096
12 227,443 449 559 637 642 685 689 752 789 808 834 874 1102 1108 1143 1170
161 178 341,528 549 882 1188
104,564 720 1188
335,608 1000 1184
335,478 884 1000 1094 1144
79 99 211 305 335 353,393 408 422 425 473 549 559 565 572 574 662 759 771 816 911 947 951 985 1000 1019 1039 1047 1067 1084 1088 1094 1102 1144 1159 1170 1184
305 372,390 731 759 1000 1144
133,390 637 642 731 823 833 1039 1144
133,467 633 642 686 823 1000 1140 1144
100,528 559 633 642 650 686 752 759 823 833 1000 1039 1143 1144
209,419 438 559 642 752 759 823 982 1000 1039 1144 1170
21 56 318,494 549 572 759 882 951 1000 1102 1144 1184
200,393 406 422 551 1117
83,406 490 551 967
65,1117
372,1117
155,435 445 558 598 824 843 934 996 1039 1117 1179
167,732 734 813 1088
167,689 824 869 1088
167,445 580 1088
167,440 445 509 558 580 662 685 689 702 706 809 824 855 934 1007 1119 1134 1179
155 167,442 527 537 642 650 734 823 1007 1124 1136 1143 1194
167,442 488 528 632 823 1007
229,656 661 705 831
308,558 701 935 1109 1168 1179 1194
357,395 442 528 813 833 947 1107 1194
99 190 246 335,419 528 626 637 642 790 828 947 1052 1067 1096 1148
344,445 473 497 509 662 689 789 816 855 947 951 1039 1102 1103 1175
141 148 305,413 425 537 672 1124 1143 1194
224,448 461 528 582 650 833 947 982 1035 1062 1096 1136
229,448 582 642 650 1035
229,448 705 1035
99,448 1035
92,758 759 812 869 1084
341,419 513 537 786 919 1124 1148 1188
341,572 672 776 951 1188
327,419 528 565 686 1136 1188
161 172,513 537 776 786 813 919 947 1124 1148 1188
5 144,425 513 672 951 1093 1144
161 341,408 528 565 572 776 786 1143 1144
161 341,408 425 786 813 1148 1188
5,528 537 786 947 1124 1136 1148 1188
161,408 528 1093 1144 1188
341,528 537 646 1124 1143 1188
341,572 672 776 951 1188
327,419 528 565 686 1136 1188
50 190 341,425 528 565 572 951 1102 1188
161 341,408 425 786 813 1148 1188
341,449 537 565 776 813 982 1124 1141 1188
100 184,789 825 1188
5,528 537 786 947 1124 1136 1148 1188
206,445 498 732 888 1188
50 161 184 341,528 537 565 572 650 764 1093 1124 1188
341,537 1093 1124 1194
227,421 443 461 527 528 537 559 582 637 685 689 718 752 764 789 874 944 1011 1054 1102 1124 1170 1196
254,564 771 838 1047 1194
50,449 537 672 947 1093 1124 1194
99,419 449 549 692 725 947 1026 1079
50,449 537 672 947 1093 1124 1194
133,390 419 438 528 559 642 686 752 759 823 982 1000 1039 1102 1144 1170
335,559 731 759 785 869 1000 1144
227,559 597 665 685 752 759 869 980 1000 1144
227,522 559 597 665 685 709 759 869 956 980 1000 1144
84 335,445 728 970 1039 1088 1117
246,393 422 549 564 565 642 705 882 985 1019 1050 1184
23,657 1163
197,582 642 657 672 982 1159 1163
197,657 836 1163
37,657 1163
46 99 161 200,394 423 443 445 785 869 938 951 973
372,440 528 657 1163
197,582 637 650 657 720 748 947 982 1016 1163
142 190 307,449 528 637 650 722
133,771 883
83,434 498 528 626 656 657 732 790 813 941 947 973 1134 1150 1163 1188
83,473 498 657 917 1064 1163
305,406 461 657 917 944 1148 1150 1159 1163
341,442 528 537 813 1124 1143 1194
141,657 1148 1163
34,394 498 657 704 1163
356,637 657 720 1062 1163
197,657 813 876 947 1106 1163
356,657 1109 1163
200,1132
252,716 1194
155,528 652 823 907 1163
197,652 836 1163
197,652 1163
372,652 1163
197,422 425 528 637 764 813 947 1002 1163
341,407 657 1163
23,657 982 1163
197,582 637 650 657 720 748 947 982 1016 1163
262,445 646 809 905 1039 1077 1175
40 167,445 528 809 1088
113,537 559 760 842 869 873 919 994 1001 1124 1134
155 184 214 300,408 422 473 497 591 816 951 1194
93 211 223 305,422 497 565 591 662 771 789 808 951 1093
305,528 720 951 1016 1194
167,422 473 478 528 565 637 650 656 705 764 813 831 924 947 951 1170
356,637 657 720 1062 1163
341 353,842
197,657 813 876 947 1106 1163
98 211,442 790 982 1148 1194
171 190 223 382,650 825 951
93,662 760 869 994 1076 1088 1091 1102 1170
344,443 473 492 497 590 662 689 816 855 885 951 1039 1088 1175
17 64 98 178 211,445 728 970 1039 1088 1117
197,422 445 559 565 596 685 689 705 760 771 1039 1151 1159 1170
34 357,425 528 637 813 947
200,458 722 1125
200 341,558 1136 1179
21,425 549 759 813 894 985 1093 1096
21 73,405 549 656 672 717 735 759 830 916 1010 1067 1159
114,467 497 522 662 672 689 816 855 917 951 956 1119 1163
115,661
92 211,572 1084
358,406 565 657 833 1064 1163 1178
358,404 561
40,445 565 642 672 720 731 789 823 850 970 1039 1088 1093 1143 1144 1184
23,425 528 549 764 947 982 1002 1163
27,411 422 425 528 637 646 650 764 833 1074 1084 1184
139 314 349,422 425 440 598 637 705 813 831 897 1184
139 314,402 404 434 440 564 637 705 707 764 947 973
314,394 528 564 582 637 824
73 314 379,404 419 438 440 463 498 703 828 831 928 947 998 1178
305 341,393 408 480 528 537 549 672 715 801 859 947 1093 1124 1159
211,419 528
211,449 759 760 1000 1093 1096 1144
335,425 657 951 1096 1163
22 335,422 549 560 882 1084 1144 1184
133,771 883
133,750
341,497 528 591 813 947 951
341,528 537 565 786 914 1124
341,528 537 776 786 914 1124
190,528 572 637 790 833 1194 1195
99 341,442 528 537 924 1093 1119 1124
341,528 549 637 657 732 788 947 949 1002 1007 1163 1199
161,449 528 537 1093 1124 1143 1194
341,419 528 642 672 786 914 1148
305,528 537 813 914 947 1124 1136 1143 1194
37,411
341,537 786 813 1124 1148
341,413 449 528 537 620 686 776 919 1067 1069 1093 1124 1188
341,528 707 813 1006 1148 1188
341,528 537 572 672 776 801 914 979 1093 1124 1143
341,528 537 1124 1143 1148
341,528 537 572 672 813 1093 1124
341,528 646
122 190,425 528 572 637 650 722 732 813 947 1093 1148 1150 1188
341,419 528 537 1026 1124 1188
141 155 344,435 445 558 816 934 1039 1088 1132 1175 1179
167,473 528 565 637 642 833 1136 1175
167,527 528 1007 1011 1175 1194
141 155 167,559 816 1088 1102 1144 1175
167,527 528 537 582 637 642 650 734 813 833 1107 1124 1175 1194
99,413 528 582 637 642 650 656 748 917 979 1069 1199
275,393 411 413 582 637 642 650 656 701 809 917 924 1069 1136 1199
229,413 582 637 650 656 833 850 1069 1199
382,413 457 582 637 650 656 1069 1144 1199
99 341,442 528 537 924 1093 1119 1124
197,508 642 876 1062
32,646 720 1194
34 261 308,528 717 833 1119
210 341,528 672 1019 1125 1182
356,409 637 676 1008
311 356,629 771 1039
113,429 433 477 549 577 787 813
252,564
283,869
193,572 637 646 841 998 1001
293,572
5 341,449 514 1093
341,408 528 537 549 558 633 717 833 947 1093 1124
341,497 951 1093
341,449 1093
341,598 671 672 717 752 833 1119 1184
167,514
341,598 672 717 752 955
178 195 211,479 537 672 717 718 752 1124 1184
321,393 395 528 672 710 752 772 788 956 1019 1199
249,468 528 642 692 771 1067
210,558 608 824 934 1137
13,478 528 637 947 1093 1102 1136
183 314,413 445 758 888 1069 1117
5 56,425 477 549 560 748 759 787 869 1144 1159
124 142 214,549 560 577 633 642 716 748 787 947 951 1036 1103 1144 1159 1184
335,701 951
99,572 608 869 898 1008
92 378,477 656 706 759 787 869 951 1067 1113 1144 1184
335,528 637 642 995 1066
341,425 813 1039 1175
32,558
341,549 560 642 885 1000 1119 1159
341,816
133,775
133,440 528 541 765 771 1102 1184
341,449 490 514 662 813 1093
83 211 305,449 488 497 514 838 951 1093
73 211 307 379,440 462 532 560 633 692 752 919 958 1093 1140
5 214 341,582 752 1132
195,425 442 528 549 558 725 764 833 985 1093 1194
349,947 1159
133,445 559 561 685 1047 1091
124 142 214,549 560 577 633 642 716 748 787 947 951 1036 1103 1144 1159 1184
217,596 903
100 201 229 335,409 411 413 422 428 429 519 537 559 608 637 642 668 685 697 701 759 764 787 813 873 882 992 1039 1069 1076 1096 1113 1124 1164 1184
305,419 422 473 771 966 1019
341,425 813 1039 1175
100,528 637 725 764 810
92,528 725 764 947 985 1093 1136
223,431 528 637 706 813 982
339,442 559 685 1136
211,449 480 549 859
335,423 445 898 973
283,423 445 709 973
318,916
99,419 425 528 637 672 929 947 1079 1093 1159 1188
223,429 759 951 1144 1184
83 92 172 178 325,419 425 528 549 672 731 759 813 929 951 1026 1067 1079 1144 1148 1184
83 92 172 178 325,419 478 528 549 560 582 650 947 982 1026 1079 1093 1102
84,759 813 982 1067 1079 1182
5 99,408 422 425 528 565 672 947 982 1079 1144 1159 1184
254 305 335 374,408 422 468 473 528 549 633 672 731 752 771 1102 1136
50 335 341,408 422 468 528 532 672 692 715 731 771 833 947 985 1019 1067 1079 1084 1093 1102 1106 1107 1136 1159 1170 1182 1184
184 323 349 374,468 473 528 549 558 573 661 672 692 720 731 764 771 833 853 947 985 1019 1067 1079 1084 1102 1107 1121 1149 1159 1168
167,473 527 528 565 582 637 642 650 813 869 1039 1175
167,497 591 662 816 951 1039 1093 1175
155 167,537 558 642 702 725 823 824 1007 1124 1132 1175 1179 1194
155 167,440 528 537 869 1039 1088 1124 1132 1175
122 155,445 505 996 1088 1132 1175
155,435 445 558 759 869 933 934 1039 1088 1175 1179
155,445 528 558 934 1039 1175
214,1039 1088 1132 1175
167,440 537 582 650 869 947 980 990 1039 1124 1175
97,772 956
141,956
214,956
155,449 656 1193
167,445 473 497 662 771 816 951 1039 1047 1088 1175
23 229,445 473 497 585 662 689 706 809 813 816 951 1039 1047 1088 1175
167,424 449 497 662 759 951 1039 1132 1144 1175
5 56 211 231 239,445 838 869 1088
178 305,497 591 850 951 1093 1175
40,445 590 591 813 1039 1088 1175
141 305,488 528 590 591 994 1039 1175 1194
227,445 522 584 585 598 642 765 1175
64,445 642 996
56 99,642 982 1036
167 197,528 572 637 642 650 813 833 869 1175
147,393 425 473 528 549 637 758 764 813 823 947
19,408 461 528 823 917 1141 1148 1194
214,461 528 642 813 823 1132
172,582 631 650 686 823 917 1148
83 141 148,528 558 582 650 725 823 935 1148 1159
155,528 582 650 731 823 833 1000 1107 1144 1148
133,419 461 493 528 642 676 752 823 1132
155 305,823 833 985 1143 1148 1194
155,442 528 725 823 1107 1136 1194
322,473 566 771 823 985 1102 1107 1170
53 297 347,413 449 656 659 722 825 941 1067 1069
147,425 528 532 823 947 985 1150
172 184 339,637 947 951
139 314,637 813 935 947 951 1109 1184
274 339,494 528 813 823
133,442 477 528 558 564 637 650 672 752 787 823 824 833 1002 1107
133,422 477 528 549 558 637 672 747 752 764 787 823 824 833 1107
305,528 572 650 823 1107
